group,practice,other_type,acc,timepoint,n,chain,nplus,acc_plus,nneg,acc_neg
immediate,C,T,NA,1,945,1,NA,NA,NA,NA
immediate,C,NA,NA,1,945,2,NA,NA,NA,NA
immediate,S,NA,NA,1,945,3,NA,NA,NA,NA
immediate,T,C,0.557777777777778,1,945,4,NA,NA,NA,NA
immediate,T,NA,0.584444444444444,1,945,5,NA,NA,NA,NA
delay,C,T,NA,1,945,1,NA,NA,NA,NA
delay,C,NA,NA,1,945,2,NA,NA,NA,NA
delay,S,NA,NA,1,945,3,NA,NA,NA,NA
delay,T,C,0.539393939393939,1,945,4,NA,NA,NA,NA
delay,T,NA,0.539393939393939,1,945,5,NA,NA,NA,NA
immediate,C,T,0.562222222222222,2,945,1,251,0.685258964143426,199,0.407035175879397
immediate,C,NA,0.453333333333333,2,945,2,NA,NA,NA,NA
immediate,S,NA,0.815555555555556,2,945,3,NA,NA,NA,NA
immediate,T,C,NA,2,945,4,NA,NA,NA,NA
immediate,T,NA,0.566666666666667,2,945,5,263,0.954372623574145,187,0.0213903743315508
delay,C,T,0.331313131313131,3,945,1,267,0.453183520599251,228,0.18859649122807
delay,C,NA,0.292929292929293,3,945,2,NA,NA,NA,NA
delay,S,NA,0.547474747474747,3,945,3,NA,NA,NA,NA
delay,T,C,NA,3,945,4,NA,NA,NA,NA
delay,T,NA,0.478787878787879,3,945,5,267,0.857677902621723,228,0.0350877192982456
